nombre de noeuds;taille du travail;taille des morceaux;temps du travail
23;100000;10000000;0m0.184s
15;100000;10000000;0m0.226s
31;100000;10000000;0m0.184s
39;100000;10000000;0m0.184s
47;100000;10000000;0m0.207s
7;100000;100000000;0m0.223s
15;100000;100000000;0m0.229s
23;100000;100000000;0m0.225s
31;100000;100000000;0m0.184s
39;100000;100000000;0m0.187s
47;100000;100000000;0m0.205s
7;100000;1000000000;0m0.219s
15;100000;1000000000;0m0.224s
23;100000;1000000000;0m0.236s
31;100000;1000000000;0m0.181s
39;100000;1000000000;0m0.181s
47;100000;1000000000;0m0.205s
7;1000000;1000000;0m0.419s
15;1000000;1000000;0m0.420s
23;1000000;1000000;0m0.523s
31;1000000;1000000;0m0.385s
39;1000000;1000000;0m0.383s
47;1000000;1000000;0m0.520s
7;1000000;10000000;0m0.220s
15;1000000;10000000;0m0.228s
23;1000000;10000000;0m0.223s
31;1000000;10000000;0m0.185s
39;1000000;10000000;0m0.184s
47;1000000;10000000;0m0.186s
7;1000000;100000000;0m0.222s
23;1000000;100000000;0m0.188s
15;1000000;100000000;0m0.225s
31;1000000;100000000;0m0.329s
39;1000000;100000000;0m0.184s
47;1000000;100000000;0m0.186s
7;1000000;1000000000;0m0.240s
15;1000000;1000000000;0m0.221s
23;1000000;1000000000;0m0.222s
31;1000000;1000000000;0m0.184s
39;1000000;1000000000;0m0.184s
47;1000000;1000000000;0m0.186s
7;10000000;1000000;0m0.622s
15;10000000;1000000;0m0.522s
23;10000000;1000000;0m0.525s
31;10000000;1000000;0m0.484s
39;10000000;1000000;0m0.484s
47;10000000;1000000;0m0.485s
7;10000000;10000000;0m1.823s
15;10000000;10000000;0m1.823s
23;10000000;10000000;0m1.826s
31;10000000;10000000;0m1.785s
39;10000000;10000000;0m1.785s
47;10000000;10000000;0m1.788s
7;10000000;100000000;0m0.216s
15;10000000;100000000;0m0.229s
23;10000000;100000000;0m0.238s
31;10000000;100000000;0m0.185s
39;10000000;100000000;0m0.184s
47;10000000;100000000;0m0.185s
7;10000000;1000000000;0m0.222s
23;10000000;1000000000;0m0.184s
15;10000000;1000000000;0m0.219s
31;10000000;1000000000;0m0.184s
39;10000000;1000000000;0m0.186s
47;10000000;1000000000;0m0.184s
7;100000000;1000000;0m2.922s
15;100000000;1000000;0m1.425s
23;100000000;1000000;0m1.123s
31;100000000;1000000;0m0.884s
39;100000000;1000000;0m0.786s
47;100000000;1000000;0m0.786s
7;100000000;10000000;0m3.330s
15;100000000;10000000;0m1.831s
23;100000000;10000000;0m1.826s
31;100000000;10000000;0m1.787s
39;100000000;10000000;0m1.888s
47;100000000;10000000;0m1.883s
7;100000000;100000000;0m14.235s
15;100000000;100000000;0m14.339s
23;100000000;100000000;0m15.691s
31;100000000;100000000;0m14.193s
39;100000000;100000000;0m15.693s
47;100000000;100000000;0m15.698s
7;100000000;1000000000;0m0.221s
15;100000000;1000000000;0m0.223s
23;100000000;1000000000;0m0.222s
31;100000000;1000000000;0m0.184s
39;100000000;1000000000;0m0.184s
47;100000000;1000000000;0m0.177s
7;1000000000;1000000;0m20.938s
15;1000000000;1000000;0m10.134s
23;1000000000;1000000;0m7.186s
31;1000000000;1000000;0m5.189s
39;1000000000;1000000;0m4.287s
47;1000000000;1000000;0m3.702s
7;1000000000;10000000;0m21.839s
15;1000000000;10000000;0m10.439s
23;1000000000;10000000;0m8.088s
31;1000000000;10000000;0m6.088s
39;1000000000;10000000;0m4.988s
47;1000000000;10000000;0m4.787s
7;1000000000;100000000;0m31.197s
15;1000000000;100000000;0m14.734s
23;1000000000;100000000;0m15.792s
31;1000000000;100000000;0m15.691s
39;1000000000;100000000;0m16.309s
47;1000000000;100000000;0m15.898s
7;1000000000;1000000000;2m15.650s
15;1000000000;1000000000;2m35.171s
23;1000000000;1000000000;2m16.257s
31;1000000000;1000000000;2m34.170s
39;1000000000;1000000000;2m34.271s
47;1000000000;1000000000;2m34.380s
7;1000;1000000;0m0.219s
15;1000;1000000;0m0.221s
23;1000;1000000;0m0.188s
31;1000;1000000;0m0.184s
39;1000;1000000;0m0.177s
47;1000;1000000;0m0.186s
7;1000;10000000;0m0.227s
15;1000;10000000;0m0.183s
23;1000;10000000;0m0.184s
31;1000;10000000;0m0.184s
39;1000;10000000;0m0.187s
47;1000;10000000;0m0.185s
7;1000;100000000;0m0.219s
15;1000;100000000;0m0.184s
23;1000;100000000;0m0.184s
31;1000;100000000;0m0.184s
39;1000;100000000;0m0.183s
47;1000;100000000;0m0.230s
7;1000;1000000000;0m0.222s
15;1000;1000000000;0m0.184s
23;1000;1000000000;0m0.184s
31;1000;1000000000;0m0.186s
39;1000;1000000000;0m0.205s
47;1000;1000000000;0m0.186s
7;10000;1000000;0m0.182s
15;10000;1000000;0m0.231s
23;10000;1000000;0m0.186s
31;10000;1000000;0m0.188s
39;10000;1000000;0m0.184s
47;10000;1000000;0m0.185s
7;10000;10000000;0m0.227s
15;10000;10000000;0m0.220s
23;10000;10000000;0m0.184s
31;10000;10000000;0m0.182s
39;10000;10000000;0m0.203s
47;10000;10000000;0m0.184s
7;10000;100000000;0m0.221s
15;10000;100000000;0m0.184s
23;10000;100000000;0m0.183s
31;10000;100000000;0m0.184s
39;10000;100000000;0m0.186s
47;10000;100000000;0m0.185s
7;10000;1000000000;0m0.221s
15;10000;1000000000;0m0.178s
23;10000;1000000000;0m0.183s
31;10000;1000000000;0m0.180s
39;10000;1000000000;0m0.186s
47;10000;1000000000;0m0.183s
7;100000;1000000;0m0.219s
15;100000;1000000;0m0.227s
23;100000;1000000;0m0.186s
31;100000;1000000;0m0.184s
39;100000;1000000;0m0.185s
47;100000;1000000;0m0.190s
7;100000;10000000;0m0.246s
15;100000;10000000;0m0.225s
23;100000;10000000;0m0.188s
31;100000;10000000;0m0.187s
39;100000;10000000;0m0.203s
47;100000;10000000;0m0.186s
7;100000;100000000;0m0.182s
15;100000;100000000;0m0.223s
23;100000;100000000;0m0.182s
31;100000;100000000;0m0.186s
39;100000;100000000;0m0.208s
47;100000;100000000;0m0.185s
7;100000;1000000000;0m0.221s
15;100000;1000000000;0m0.223s
23;100000;1000000000;0m0.186s
31;100000;1000000000;0m0.182s
39;100000;1000000000;0m0.184s
47;100000;1000000000;0m0.184s
7;1000000;1000000;0m0.419s
15;1000000;1000000;0m0.422s
23;1000000;1000000;0m0.382s
31;1000000;1000000;0m0.381s
39;1000000;1000000;0m0.383s
47;1000000;1000000;0m0.385s
7;1000000;10000000;0m0.220s
15;1000000;10000000;0m0.223s
23;1000000;10000000;0m0.177s
31;1000000;10000000;0m0.184s
39;1000000;10000000;0m0.186s
47;1000000;10000000;0m0.186s
7;1000000;100000000;0m0.223s
15;1000000;100000000;0m0.224s
23;1000000;100000000;0m0.185s
31;1000000;100000000;0m0.187s
39;1000000;100000000;0m0.185s
47;1000000;100000000;0m0.186s
7;1000000;1000000000;0m0.182s
15;1000000;1000000000;0m0.229s
23;1000000;1000000000;0m0.184s
31;1000000;1000000000;0m0.182s
39;1000000;1000000000;0m0.201s
47;1000000;1000000000;0m0.185s
7;10000000;1000000;0m0.722s
15;10000000;1000000;0m0.520s
23;10000000;1000000;0m0.483s
31;10000000;1000000;0m0.484s
39;10000000;1000000;0m0.485s
47;10000000;1000000;0m0.485s
7;10000000;10000000;0m1.831s
15;10000000;10000000;0m1.826s
23;10000000;10000000;0m1.909s
31;10000000;10000000;0m1.784s
39;10000000;10000000;0m1.805s
47;10000000;10000000;0m1.785s
7;10000000;100000000;0m0.232s
15;10000000;100000000;0m0.222s
23;10000000;100000000;0m0.187s
31;10000000;100000000;0m0.189s
39;10000000;100000000;0m0.182s
47;10000000;100000000;0m0.185s
7;10000000;1000000000;0m0.221s
15;10000000;1000000000;0m0.252s
23;10000000;1000000000;0m0.184s
31;10000000;1000000000;0m0.183s
39;10000000;1000000000;0m0.202s
47;10000000;1000000000;0m0.183s
7;100000000;1000000;0m2.583s
15;100000000;1000000;0m1.427s
23;100000000;1000000;0m1.087s
31;100000000;1000000;0m0.886s
39;100000000;1000000;0m0.787s
47;100000000;1000000;0m0.788s
7;100000000;10000000;0m3.395s
15;100000000;10000000;0m1.822s
23;100000000;10000000;0m1.882s
31;100000000;10000000;0m1.884s
39;100000000;10000000;0m1.802s
47;100000000;10000000;0m1.787s
7;100000000;100000000;0m16.089s
15;100000000;100000000;0m14.239s
23;100000000;100000000;0m14.196s
31;100000000;100000000;0m15.693s
39;100000000;100000000;0m15.693s
47;100000000;100000000;0m15.734s
7;100000000;1000000000;0m0.308s
15;100000000;1000000000;0m0.317s
23;100000000;1000000000;0m0.333s
31;100000000;1000000000;0m0.186s
39;100000000;1000000000;0m0.185s
47;100000000;1000000000;0m0.185s
7;1000000000;1000000;0m20.936s
15;1000000000;1000000;0m10.138s
23;1000000000;1000000;0m7.197s
31;1000000000;1000000;0m5.489s
39;1000000000;1000000;0m4.387s
47;1000000000;1000000;0m4.017s
7;1000000000;10000000;0m21.739s
15;1000000000;10000000;0m11.090s
23;1000000000;10000000;0m7.591s
31;1000000000;10000000;0m6.487s
39;1000000000;10000000;0m4.989s
47;1000000000;10000000;0m5.028s
7;1000000000;100000000;0m28.444s
15;1000000000;100000000;0m15.692s
23;1000000000;100000000;0m15.691s
31;1000000000;100000000;0m15.898s
39;1000000000;100000000;0m15.693s
47;1000000000;100000000;0m15.937s
7;1000000000;1000000000;2m30.908s
15;1000000000;1000000000;2m31.821s
23;1000000000;1000000000;2m15.462s
31;1000000000;1000000000;2m34.449s
39;1000000000;1000000000;2m16.596s
47;1000000000;1000000000;2m34.323s
7;1000;1000000;0m0.182s
15;1000;1000000;0m0.192s
23;1000;1000000;0m0.320s
31;1000;1000000;0m0.212s
39;1000;1000000;0m0.324s
7;1000;10000000;0m0.205s
47;1000;1000000;0m0.317s
15;1000;10000000;0m0.180s
23;1000;10000000;0m0.314s
31;1000;10000000;0m0.318s
39;1000;10000000;0m0.336s
7;1000;100000000;0m0.208s
47;1000;10000000;0m0.319s
15;1000;100000000;0m0.181s
23;1000;100000000;0m0.322s
31;1000;100000000;0m0.315s
39;1000;100000000;0m0.319s
47;1000;100000000;0m0.317s
7;1000;1000000000;0m0.292s
15;1000;1000000000;0m0.281s
23;1000;1000000000;0m0.183s
31;1000;1000000000;0m0.296s
7;10000;1000000;0m0.290s
39;1000;1000000000;0m0.295s
47;1000;1000000000;0m0.318s
7;1000;1000000;0m0.221s
15;1000;1000000;0m0.248s
23;1000;1000000;0m0.182s
31;1000;1000000;0m0.183s
39;1000;1000000;0m0.184s
47;1000;1000000;0m0.183s
7;1000;10000000;0m0.220s
15;1000;10000000;0m0.223s
23;1000;10000000;0m0.223s
31;1000;10000000;0m0.183s
39;1000;10000000;0m0.184s
47;1000;10000000;0m0.185s
7;1000;100000000;0m0.222s
15;1000;100000000;0m0.222s
23;1000;100000000;0m0.188s
31;1000;100000000;0m0.183s
39;1000;100000000;0m0.179s
47;1000;100000000;0m0.185s
7;1000;1000000000;0m0.227s
15;1000;1000000000;0m0.222s
23;1000;1000000000;0m0.182s
31;1000;1000000000;0m0.183s
39;1000;1000000000;0m0.183s
47;1000;1000000000;0m0.175s
7;10000;1000000;0m0.229s
15;10000;1000000;0m0.227s
23;10000;1000000;0m0.182s
31;10000;1000000;0m0.186s
39;10000;1000000;0m0.184s
47;10000;1000000;0m0.184s
7;10000;10000000;0m0.222s
15;10000;10000000;0m0.220s
23;10000;10000000;0m0.191s
31;10000;10000000;0m0.186s
39;10000;10000000;0m0.186s
47;10000;10000000;0m0.186s
7;10000;100000000;0m0.239s
15;10000;100000000;0m0.221s
23;10000;100000000;0m0.189s
31;10000;100000000;0m0.185s
39;10000;100000000;0m0.186s
47;10000;100000000;0m0.179s
7;10000;1000000000;0m0.180s
15;10000;1000000000;0m0.223s
23;10000;1000000000;0m0.182s
31;10000;1000000000;0m0.277s
39;10000;1000000000;0m0.183s
47;10000;1000000000;0m0.182s
7;100000;1000000;0m0.219s
15;100000;1000000;0m0.226s
23;100000;1000000;0m0.186s
31;100000;1000000;0m0.183s
39;100000;1000000;0m0.186s
47;100000;1000000;0m0.185s
7;100000;10000000;0m0.221s
15;100000;10000000;0m0.231s
23;100000;10000000;0m0.185s
31;100000;10000000;0m0.181s
39;100000;10000000;0m0.184s
47;100000;10000000;0m0.183s
7;100000;100000000;0m0.220s
15;100000;100000000;0m0.224s
23;100000;100000000;0m0.182s
31;100000;100000000;0m0.182s
39;100000;100000000;0m0.186s
47;100000;100000000;0m0.183s
7;100000;1000000000;0m0.222s
23;100000;1000000000;0m0.183s
15;100000;1000000000;0m0.222s
31;100000;1000000000;0m0.182s
39;100000;1000000000;0m0.184s
47;100000;1000000000;0m0.186s
7;1000000;1000000;0m0.381s
15;1000000;1000000;0m0.423s
23;1000000;1000000;0m0.385s
31;1000000;1000000;0m0.401s
39;1000000;1000000;0m0.385s
47;1000000;1000000;0m0.385s
7;1000000;10000000;0m0.182s
15;1000000;10000000;0m0.226s
23;1000000;10000000;0m0.185s
31;1000000;10000000;0m0.182s
39;1000000;10000000;0m0.185s
47;1000000;10000000;0m0.188s
7;1000000;100000000;0m0.222s
15;1000000;100000000;0m0.188s
23;1000000;100000000;0m0.186s
31;1000000;100000000;0m0.183s
39;1000000;100000000;0m0.184s
47;1000000;100000000;0m0.191s
7;1000000;1000000000;0m0.231s
15;1000000;1000000000;0m0.184s
23;1000000;1000000000;0m0.186s
31;1000000;1000000000;0m0.184s
39;1000000;1000000000;0m0.180s
47;1000000;1000000000;0m0.321s
7;10000000;1000000;0m0.620s
15;10000000;1000000;0m0.484s
23;10000000;1000000;0m0.483s
31;10000000;1000000;0m0.490s
39;10000000;1000000;0m0.484s
47;10000000;1000000;0m0.613s
7;10000000;10000000;0m1.822s
15;10000000;10000000;0m1.782s
23;10000000;10000000;0m1.813s
31;10000000;10000000;0m1.788s
39;10000000;10000000;0m1.794s
47;10000000;10000000;0m1.933s
7;10000000;100000000;0m0.204s
15;10000000;100000000;0m0.182s
23;10000000;100000000;0m0.188s
31;10000000;100000000;0m0.187s
39;10000000;100000000;0m0.201s
47;10000000;100000000;0m0.327s
7;10000000;1000000000;0m0.180s
15;10000000;1000000000;0m0.185s
23;10000000;1000000000;0m0.195s
31;10000000;1000000000;0m0.184s
39;10000000;1000000000;0m0.185s
47;10000000;1000000000;0m0.181s
7;100000000;1000000;0m2.632s
15;100000000;1000000;0m1.413s
23;100000000;1000000;0m1.082s
31;100000000;1000000;0m0.886s
39;100000000;1000000;0m0.785s
47;100000000;1000000;0m0.786s
7;100000000;10000000;0m3.402s
15;100000000;10000000;0m1.843s
23;100000000;10000000;0m1.884s
31;100000000;10000000;0m1.784s
39;100000000;10000000;0m1.783s
47;100000000;10000000;0m1.786s
7;100000000;100000000;0m14.241s
15;100000000;100000000;0m14.240s
23;100000000;100000000;0m15.692s
31;100000000;100000000;0m15.814s
39;100000000;100000000;0m15.694s
47;100000000;100000000;0m14.237s
7;100000000;1000000000;0m0.333s
15;100000000;1000000000;0m0.181s
23;100000000;1000000000;0m0.182s
31;100000000;1000000000;0m0.183s
39;100000000;1000000000;0m0.183s
47;100000000;1000000000;0m0.186s
7;1000000000;1000000;0m22.494s
15;1000000000;1000000;0m10.139s
23;1000000000;1000000;0m6.990s
31;1000000000;1000000;0m5.488s
39;1000000000;1000000;0m4.293s
47;1000000000;1000000;0m3.921s
7;1000000000;10000000;0m23.393s
15;1000000000;10000000;0m10.433s
23;1000000000;10000000;0m7.590s
31;1000000000;10000000;0m6.489s
39;1000000000;10000000;0m5.115s
47;1000000000;10000000;0m4.822s
7;1000000000;100000000;0m31.103s
15;1000000000;100000000;0m15.817s
23;1000000000;100000000;0m16.200s
31;1000000000;100000000;0m15.692s
39;1000000000;100000000;0m16.379s
47;1000000000;100000000;0m16.132s
7;1000000000;1000000000;2m31.068s
15;1000000000;1000000000;2m34.469s
23;1000000000;1000000000;2m33.973s
31;1000000000;1000000000;2m30.899s
39;1000000000;1000000000;2m31.916s
47;1000000000;1000000000;2m39.626s
1;1000;100;0m0.240s
1;1000;100;0m0.241s
1;10000;100;0m0.362s
1;10000;100;0m0.248s
1;100000;100;0m0.744s
1;100000;100;0m0.739s
1;1000000;100;0m2.552s
1;1000000;100;0m2.642s
1;10000000;100;0m9.550s
1;10000000;100;0m10.059s
1;100000000;100;1m19.105s
1;100000000;100;1m20.904s
1;1000000000;100;12m56.494s
1;1000000000;100;13m36.637s
